"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.666645979450962	-1.55135856714056	0.218066608238636	0.138431722069496	"Linear regression"	"Beta coefficient"	131	0.0340838259041346
"Sex"	0.362592113752956	-0.109146110762345	0.834330338268257	0.130760039144402	"Linear regression"	"Beta coefficient"	131	0.0340838259041346
"Rare_Deleterious_SNVs"	0.166944147652668	-0.00467326000654752	0.338561555311884	0.0564744061821469	"Linear regression"	"Beta coefficient"	131	0.0340838259041346
